W_ID,X_COORD,Y_COORD,NAME,QUAL,CHK_BY,CHK_DATE
1,610124.0815,4905101.303,Elk 1,Fair,B Stewart,2021-12-21
2,611659.0625,4913979.832,Bear Butte 1,Excellent,A Thomas,2022-12-21
3,609016.6155,4915809.324,Bear Butte 2,Fair,A Thomas,2022-12-15
4,612427.9173,4910997.032,Bear Butte 3,Excellent,A Thomas,2022-12-18
5,614870.5044,4905514.835,Elk 2,Excellent,B Stewart,2021-12-09
6,602292.0191,4915379.445,Whitewood 1,Very Good,A Wilson,2023-01-18
7,612593.3895,4915782.422,Bear Butte 4,Poor,A Thomas,2023-01-03
8,607054.8815,4919291.612,Whitewood 2,Good,A Wilson,2023-01-15
9,603759.9874,4918583.748,Whitewood 3,Very Good,A Wilson,2023-01-10
